name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
TheViper;viper;12/13/91;no;2011;-1;2239;166;2729;351051.99;Knights of the Realm, BuzZ, Revenge of Knight, TyRanT, Team Secret, GamerLegion
Hera;;10/14/99;ca;2013;-1;4970;1129;2673;322072.04;WolfpacK, The Immortals, Heresy, Aftermath, Tempo Storm, Aftermath, GamerLegion
Liereyy;;2002;at;2016;-1;1325;51;2625;232812.43;CZ,Aftermath,Tempo Storm,WeSports
TaToH;;12/14/89;es;2001;-1;1049;2447;2630;215652.23;WolfpacK,TyRanT,Team Secret,GamerLegion
Yo;mr_yo,mr yo;10/15/92;cn;2011;-1;3574;1720;2693;175304.47;PBT,SY,YinYang,White Wolf Palace,LingYuan
DauT;;07/30/85;rs;2002;-1;2876;189;2638;160556.92;The Legion Clan,ArgoNaut,CsI,Viper,TyRanT,,Team Secret,GamerLegion
JorDan_AoE;Jordan_23,Jordan;12/11/91;de;2002;2024;2082;261;2546;109372.08;RuFF,Viper,Revenge of Knight,TyRanT,Team Secret,GamerLegion
MbL;;07/19/94;no;2013;-1;6944;474;2742;102581.54;Run Forrest Run,WolfpacK,Nadya's Boys,Aftermath,Taiwan Aoe Gamer
ACCM;;09/28/89;vn;2005;-1;3858;257;2550;83941.70;Vietnam Legends,mYinsanity
Villese;;11/30/94;fi;2014;-1;3482;972;2568;82873.35;Suomi
Grunt;iamgrunt,mossar;10/03/83;kr;2001;2011;;;;74430.50;CNS,Berserkers,TyRanT
Vinchester;vinch;06/03/98;ru;2010;-1;2025;937;2479;72650.37;WolfpacK,Vikings,SalzZ
Nicov;nivoc;02/21/92;ar;2001;-1;2430;1562;2607;64194.75;Dreamers,WolfpacK,Aftermath,Unforseen Consequences,Bots United
dogao;;12/20/91;br;2004;-1;2414;645;2572;58024.50;Viper,Revenge of Knight,The Legion Clan,WolfpacK,Lords of Skulls,SY,Brazukas,Heresy,Los Machos,CDUB Esports,TSI,FellowSheep Gaming
vivi;Fat_Dragon ;05/25/93;cn;2012;-1;707;1418;2722;45136.85;Frantic,Chao Ren,_AreS_,SY,YinYang,White Wolf Palace,LingYuan
Capoch;;04/13/87;ar;2001;-1;2206;184;;42960.71;riZen,The Legion Clan,Infinity Legends,Imperiales Team
Hearttt;heart,heartt;07/20/96;pe;2012;-1;4437;129;2544;42139.63;Aftermath,WeSports
Sitaux;;11/16/99;fr;2015;-1;1869;5027;2366;41338.05;Heresy,mYinsanity,Taiwan Aoe Gamer
Chris;L_clan_chris;1987;ca;2001;-1;1577;398;2514;40188.69;riZen,The Legion Clan,The Immortals,Revenge of Knight,WolfpacK,GTL,Infinity Legends,Unforseen Consequences
slam;;11/21/88;ca;2009;-1;3987;1527;2576;35329.96;The Immortals,Revenge of Knight,TyRanT,Team Secret,GamerLegion,Los Machos
BacT;;08/01/90;vn;2007;2023;2707;561;2575;34168.38;TyRanT,Vietnam Legends,Infinity Legends
Halen;;1984;jp;2001;2011;;;;33987.64;CNS,Berserkers,Unholy Disciples,Poison of Zone,TyRanT
Barles;_barles_;;pl;2013;-1;3201;732;2375;31594.77;The Jedi Masters,The Amigos
Sebastian;sebastian2002;02/16/02;uy;2017;-1;2914;939;;30720.20;DarkSidE,Fox
Lyx;;1986;cn;2010;-1;2666;4137;2458;29304.50;CSC,Frantic,SY,YinYang,White Wolf Palace,LingYuan
TheMax;Max;;fi;2014;-1;1132;3521;2599;28969.58;Suomi
RiuT;;06/25/93;br;2003;-1;671;194;2475;27415.74;Revenge of Knight,TyRanT,Lords of Skulls,Brazukas,Infinity Legends,KGB
F1re;;04/02/88;br;2009;-1;4819;1749;2551;26186.63;FOX (brazil team),Fully Torqued,TyRanT,Brazukas,KGB
miguel;;11/26/92;br;2007;-1;2565;782;2476;25745.52;Lords of Skulls,Brazukas,Heresy,Los Machos,Fs,Unforseen Consequences,Bots United
Mozory;;1983;kr;2000;2001;;;;25050.00;
FreakinAndy;;04/10/97;at;2020;-1;3036;1540;;24604.77;Freakin,mYinsanity
Kaohen;;01/20/77;tw;2000;2004;;;;20020.00;
IamKmkm;;07/14/84;tw;2001;2002;;;;20000.00;
Valas;;;fi;2015;-1;2340;1272;2319;19970.54;The Amigos,Suomi
kkab__;kkab;;kr;2003;2015;;;;19543.59;CNS,Berserkers,TyRanT
Koven;;1980;kr;2000;2014;;;;17675.00;Arch,Berserkers,TyRanT
Tim_;tim;1981;cn;2008;-1;945;1218;2577;17500.90;CyZ,CSC,RVK,Frantic,Chinese Kung Fu,Chao Ren,White Wolf Palace
IamJordan;Jcool;;tw;;;;;;16686.51;The Legion Clan
saymyname;yellow;09/29/89;vn;2005;-1;3670;5211;2533;15144.59;Vietnam Legends
Daniel;;1995;us;2012;-1;3418;430;2424;13908.62;Poison of Zone,Alliance eSports,Brazukas,PetGunPet,Infinity Legends,White Wolf Palace,mYinsanity
Rubenstock;;1996;fi;2011;-1;4293;1040;2366;13167.20;Suomi
Ganji;;09/11/98;se;2015;-1;330;371;2035;13094.28;The Jedi Masters,Rulers of Rome,The Amigos
Margougou;margou;09/16/02;fr;2020;-1;2231;2029;;12720.57;mYinsanity,Fox
KingstoNe;kingston;;mx;2009;-1;3195;2477;1906;12441.01;Combi
Dark;;07/01/04;ru;2013;-1;3597;461;2048;12373.30;SalzZ,3D!Clan,Fox,Ybati
classicpro;;08/04/95;ua;2013;-1;2324;981;2280;12355.07;Vikings,SalzZ
LaaaaaN;lan;09/09/96;es;2014;-1;1240;267;2518;12049.98;Los Machos,Dreamers,Heresy
Chun_Yu;chunyu,yanzi;10/22/86;hk;2001;2007;;;;11902.50;Berserkers,Poison of Zone
paladin;;;cn;2009;-1;561;5958;2343;11747.67;Noobs From QQ,Chinese Kung Fu,SY,White Wolf Palace
IamKen;;;tw;2001;2002;;;;11466.29;
Jidba;;06/10/86;gr;2001;-1;118;809;;11330.83;The Legion Clan,pG,Exalted,MorTaL,ELLaS,ArgoNaut,CsI,Berserkers,TyRanT
Zuppi;;08/31/90;fi;2004;2022;1871;91;2466;11063.71;WolfpacK,Nadya's Boys,Suomi
St4rk;;01/06/91;br;2002;-1;1741;539;2437;10910.29;Viper,Vietnam Legends,Revenge of Knight
Mihai06;mihai;06/06/03;ro;2020;-1;5099;1959;;10644.51;Fox
LoveCheng;;;cn;2012;-1;;;;10606.86;Noobs From QQ,Chinese Kung Fu, SY
Nili_AoE;Nili;03/08/88;de;2002;-1;2761;151;2330;10408.25;Tsunami,newChapter,Heresy,Team Secret,GamerLegion,Bots United
Nv_;nv;;kr;;;;;;9403.20;
The_Dragonstar;dragonstar;10/22/99;in;2017;-1;3029;3975;2221;9098.70;Dark Empire,InDuS,BLACKSAILS
Bender;;01/01/83;de;2002;2015;;;;9069.45;pG,The Legion Clan
Sora Kuma;;12/20/99;tw;2018;-1;1726;1404;2000;8816.54;Meow mi,Kyo All Fallen,Taiwan Aoe Gamer
Tammy;Ding;;hk;2007;2016;;;;8070.00;MyST,Poison of Zone
PROject_Belgium;bugum;10/29/97;be;2014;2023;3886;191;2420;8064.81;PetGunPet,Infinity Legends,mYinsanity,Alliance eSports
Modri;;;si;2013;-1;1578;593;2318;7718.16;The Amigos
repard;;;ru;2013;-1;2679;692;2352;7632.08;Ybati
North;;;gb;;;;;;7500.00;
GX_Iron;Iron;;us;;;;;;7500.00;GX
True;;;us;2002;-1;632;760;;7465.88;QuEnDi,The Legion Clan
BruH;;01/21/91;br;2006;-1;3847;560;2356;7445.69;Revenge of Knight,Lords of Skulls,DNA,The Legion Clan,Bots United,The Brotherhood Kappa,NTC,Arcano,QuEnDi,Unforseen Consequences,Bots United
BadBoy;badb0y_;07/19/91;vn;2009;-1;1011;1230;2326;7431.84;Vietnam Legends
jibatong;jbt;;cn;2009;-1;2988;2083;2524;6474.78;SY,White Wolf Palace,LingYuan
GeeK;tea,tui_dominus;;gb;2001;2006;;;;6452.67;riZen,The Legion Clan,CsI,zilla
TheCode;;01/01/89;tr;2015;-1;;;;6351.33;SuPeRNovA
Running;;09/19/95;de;2018;-1;3722;1634;2018;6209.50;
FeAge;;01/17/91;br;2002;-1;1263;895;2321;6033.14;Revenge of Knight,The Immortals,WolfpacK,Fs,Imba
Cl3m3nT;;12/30/97;fr;2010;-1;1234;747;2051;6028.89;WOTC,Fox,FrCo
Bad Koala;;01/01/96;cn;2020;-1;2354;2543;;5963.95;White Wolf Palace,LingYuan
RIP_DREAMS;;02/17/87;nl;2002;2011;;;;5950.00;The Legion Clan
GoKu;;01/25/90;br;2002;-1;736;2229;2302;5937.31;Bots United,The Legion Clan,StorM,Fully Torqued,Brazukas,KGB
Ruso;;08/24/85;es;2003;2013;;;;5916.18;CsI,ThuG Life,The Legion Clan
SongSong;;06/01/93;vn;2015;-1;2978;499;2402;5849.00;DarkSidE,Vietnam Legends
Kasva;K4SVA;03/11/94;tr;2009;-1;7412;548;2298;5795.60;Hot Young Masters,Heresy,1907 Fenerbahçe Esports,İstanbul Wildcats
CL_;;;cn;;2021;421;8;2425;5327.35;Chinese Kung Fu, Chao Ren, Frantic, White Wolf Palace
Alive;;05/30/85;br;2001;-1;3833;1788;2605;5317.06;KGB,The Legion Clan,Revenge of Knight
mentalist;;;ca;2010;-1;1686;876;;5177.88;Lords of Skulls,Unforseen Consequences,Brazukas,Nadya’s Boys
Vodka_L;Vodka;11/28/96;it;2012;-1;1626;987;2313;5174.41;Rulers of Rome
Mimmox;dumbo;;it;2001;2002;;;;5025.00;The Legion Clan
Buddha;;08/28/87;bg;2002;2007;;;;5001.79;Se7eN,Olympus,The Legion Clan
Fedex;;10/22/93;ar;2003;-1;934;1193;2240;4842.84;ReBeL,Clan Nerd,Clan Arg,Dreamers,Dark Age Rules,Gaucho
Lucky Rox;;09/27/00;ar;2019;-1;1570;832;2018;4820.84;Latin Kingdoms,DarkSidE,Dreamers
Babaorum;;1990;fr;2001;-1;4711;693;2363;4678.21;
NO_23;_chy_23k,Miss_Xue;;cn;;;440;6383;;4476.23;SY
El KhaLeN;Khalen;;fr;;;19;44;;4453.24;
CooL;;09/01/92;vn;2011;-1;268;138;2374;4331.81;Vietnam Legends
Spring;;05/26/87;us;1999;-1;4723;2044;2344;4315.40;Berserkers,Viper,BuzZ,Revenge of Knight,Heresy,Dark Empire
jamesXX;;;cn;;;;;;4290.52;
Ciskhan;;08/26/03;fr;2021;-1;2717;1483;;4153.16;Fox
Sobek;;04/07/96;cl;2011;-1;1981;2069;2358;4075.33;The Immortals,Lords of Skulls,NHN,Chilean Masters,Rulers of Rome,Imperiales Team,QueNaNiNa,Team Honor,DarkSidE
Kaiser_Willhelm;;;se;2000;2002;;;;4000.00; Myth
Rami;blade,ramirez;;il;2003;2006;;;;3991.67;RiZen,CsI,StorM
SY;;;cn;;-1;;;;3988.14;SY
NorthernPike;Pike;1995;fi;;2022;479;234;2337;3952.37;Nadya’s Boys,Suomi
XS_Fai;fai;;hk;;;;;;3846.00;
DracKeN;dracont;1995;cz;2011;-1;9513;401;2368;3770.21;Clown Legion
Kamigawa;;1995;it;2014;-1;350;2012;2122;3764.54;Rulers of Rome
I2aGE;Rage;1984;gb;1999;-1;1035;533;;3721.30;The Legion Clan,SuPeRNovA,QuEnDi
geoffrey;;;cn;;2019;;;;3704.13;CSC,PBT,Chinese Kung Fun,Chaos Run,SY
Rukie;;;es;2003;2007;;;;3676.34;WolF,Olympus,ThuG Life
xiaoxiong;;;cn;1999;-1;1438;1171;;3673.04;SY,White Wolf Palace
GKT_cloud;cloud;;tw;;-1;4221;3589;2384;3570.81;Alliance eSports,Malevolent,Kyo All Fallen,Taiwan Aoe Gamer
c.salette;;;fr;2020;-1;6419;154;;3545.51;Fox
PeEL;peel;;pl;2002;2015;;;;3539.29;PL,DnB
Ra;venom;;ca;2005;-1;347;201;2363;3506.55;TsC,The Immortals
WraTh;wrath_;;br;;2016;;;;3505.96;CNA,Revenge of Knight,Olympus,The Legion Clan
DBD_Jinx;jinx;;us;;;;;;3500.00;
TheSniper;;1990;fr;2006;2023;2857;948;;3471.72;
2scareD;2s;;se;2001;2011;;;;3432.62;The Legion Clan
AntagonisT;IAnTaGoNiStI ;;ru;2020;-1;1123;1127;;3413.06;Time To Trolling,SalzZ
Frost_9;;2000;se;2008;-1;1241;184;;3375.79;FRoST,Freakin,SuPeRNovA
MuSe;crouvex;;de;2001;2002;;;;3375.00;pG,FDK
Lojza;;1996;cz;2011;2019;;;;3363.62;Nadya's Boys,wW,CZ
IORI;;;cn;2004;-1;185;3855;;3231.67;Berserkers,MyST
Gary;;1989;ar;2005;-1;339;3007;2200;3177.53;Bots United,Vikingos Nómadas,Viper,Clan Arg,WolfpacK,Dreamers
T90Official;;1993;us;2015;-1;3482;1000;2207;3143.11;Los Machos
Dziamdziak;;05/30/86;pl;2000;-1;2473;1898;;3122.75;PL,The Legion Clan
Monoz;;02/22/93;ar;2010;-1;4032;2023;2301;3088.18;Dark Age Rules,XEVER,Dreamers
Crexis;;;ca;;;;;;3050.00;
Goodboy1;goodboy;1984;cn;2000;2013;;;;3041.23;CSC,PBT,SY,Noobs From QQ
Osiris;kraken;1981;nl;2001;2003;;;;2975.00;Myth,DevilZ,The Legion Clan,FDK
Daywalker;;1984;gb;1999;-1;232;48;;2897.87;SuPeRNovA,KGB
Loko;;;dk;2000;2001;;;;2863.27;DevilZ,Myth
teutonic_tanks;;;at;2015;-1;158;511;;2850.56;
Gabi;;;br;;-1;4071;3314;;2780.18;
Extacy;;;us;;;;;;2775.00;StorM
Annotoph;;;de;;-1;418;4039;;2664.33;
HigH;;;dk;2000;2001;;;;2619.89;DevilZ
Lucho;;;ar;;-1;5000;886;;2591.83;
HimT;;;hk;;-1;;;;2564.00;
Dante;;;us;;-1;;;;2550.00;
Air_M_Abu;abu;;cn;;-1;;;;2482.73;
Fish;;;vn;;-1;;;;2479.85;
IamOK;;;cn;;-1;;;;2452.66;Noobs From QQ
RaYaN;;;kz;;-1;;;;2450.00;
StrayDog;;;cn;;-1;2307;4301;;2413.78;
HawFchik;;;kz;;-1;;;;2350.00;
Whitecourt;;;cl;;-1;1579;2241;;2301.73;
chart;riskydice;;jp;;-1;2138;469;;2294.95;Alliance eSports
Lavie_Head;;;by;;2021;1163;66;;2244.45;
Whoop;;;cn;;-1;2317;8;;2210.33;
_Shiri;;;kr;;-1;;;;2208.49;
Jaksal;;;kr;;-1;;;;2208.49;
OLADUSHEK;;;by;;-1;1394;381;;2193.97;
Uzzi;;;mx;;-1;4445;2871;;2179.34;
xiaofan;xiaofan;;cn;;-1;1119;375;;2172.16;
SeOul;;;vn;;-1;;;;2154.22;
Praxes;;;us;;-1;;;;2143.70;
Thành Cổ Quảng Trị;hope;;vn;;-1;4410;223;;2102.81;
Noisick;;;cl;;-1;1303;897;;2098.88;
Overtaken;;;ee;;-1;3855;38;;2084.67;
z40;;;tw;;-1;4093;1468;;2055.56;
Zastosy;;;pl;;-1;282;1602;;2042.02;
Somero;;;cz;;-1;1066;1138;;2021.21;
Ugnis;;;lt;;-1;;;;2000.00;
SHS_Disciple;;;us;;-1;;;;2000.00;
Biry;;;ar;;-1;793;369;;1982.04;
NoBoDy;;;kz;;-1;;;;1950.00;
Andorin;;;de;;-1;847;773;;1938.02;
_SWJ_Windy;windy;;cn;;-1;;;;1935.71;
Matt107;;;gb;;-1;;;;1929.99;
WraTh;;;ie;;-1;;;;1900.02;
GP;;;br;;-1;;;;1900.00;
MarineLorD;;;fr;;-1;1147;466;;1882.58;
Kozmonot;Dr.Kozmonot;;tr;;-1;1977;3304;;1875.40;
Good_Game;;;ru;;-1;7429;1722;;1864.34;
BT4;;;cn;;-1;;;;1825.00;
sincetao;;;cn;;-1;;;;1816.67;
XRaY_;;;us;;-1;;;;1814.29;
DeathKnight;;;fr;;-1;;;;1785.32;
Argh;;;pl;;-1;3554;221;;1725.68;
Imperio_CC;;;de;;-1;194;1704;;1691.66;
Fanjita;;;gb;;-1;11;2410;;1691.10;
WaRRioR;;;ru;;-1;2320;798;;1684.80;
wide;;;ru;;-1;4524;715;;1652.47;
Hallis;;;gb;;-1;;;;1642.15;Imba
Cyclops;;;tr;;-1;1569;602;;1640.79;
LobodeLaNieve;;;mx;;-1;1200;4319;;1638.88;
BlinG;;;gb;;-1;1300;25;;1629.00;
Jupe;;;fi;;-1;1475;898;;1624.64;
Spaden;;;se;;-1;620;593;;1617.18;Lords of Skulls
Mununez;;;us;;-1;1590;1211;;1611.76;
_Super_XuE;;;cn;;-1;;;;1598.44;
MING;;;hk;;-1;2255;789;;1559.07;
